pdp_url,prices,product_id,product_description,color,product_type
https://www.pullandbear.com/ae/wideleg-jeans-with-darts-l07687565,269.00,715754933,"Wide-leg high-rise jeans featuring dart details, with pockets, belt loops, and zipper fly and top button fastening.",['Grey'],Clothing
https://www.pullandbear.com/ae/denim-jacket-with-zipper-l07700550,299.00,715754934,"Long sleeve denim jacket with side pockets, zipper fastening and made of 100% cotton.",['Grey'],Clothing
https://www.pullandbear.com/ae/super-baggy-jacquard-trousers-l07674507,269.00,715754935,"Super baggy trousers in jacquard fabric, with a five-pocket design, belt loops and zipper fly and top button fastening.",['Grey'],Clothing
https://www.pullandbear.com/ae/short-sleeve-mosquito-sweatshirt-l07151537,169.00,715754937,Short sleeve sweatshirt with a round neck and a mosquito graphic on the front.,['Black'],Clothing
https://www.pullandbear.com/ae/stwd-hooded-zipup-jacket-l07700507,269.00,715754938,"Jacket in neoprene-effect fabric with a hood and zipper fastening, with long sleeves, an embroidered STWD logo on the front, and a pouch pocket.","['Chocolate', 'Navy', 'Black', 'Grey']",Clothing
https://www.pullandbear.com/ae/balloon-fit-jeans-with-embroidered-pocket-l03683512,299.00,715754939,"Balloon fit jeans featuring embroidered STWD logo and English key detail on the back pocket, five pockets and zipper fly and button fastening.","['Faded black', 'Medium blue']",Clothing
https://www.pullandbear.com/ae/stwd-apple-hoodie-l07560560,199.00,715754940,"Hoodie with an apple graphic and STWD logo, long sleeves and a front pouch pocket. Made from a cotton blend.",['Grey marl'],Clothing
https://www.pullandbear.com/ae/jacket-with-corduroy-collar-l07700520,269.00,692151735,"Lightweight cotton jacket with a contrasting corduroy collar, long sleeves, zip fastening, and front and side pockets.","['Deep green', 'Black', 'Leopard', 'Sand']",Clothing
https://www.pullandbear.com/ae/stwd-studio-hoodie-l07560521,219.00,715754942,Long sleeve hoodie with a pouch pocket and STWD Studio graphic on the front and back.,"['Pink', 'Blue']",Clothing
https://www.pullandbear.com/ae/stwd-studio-hoodie-l07560533,219.00,715754946,"Hoodie available in several colours, with contrast STWD Studio text, a front pouch pocket and made from cotton.","['White', 'Black', 'Red', 'Green']",Clothing
https://www.pullandbear.com/ae/stwd-gallery-hoodie-l07560538,199.00,715754947,"Green hoodie with a contrasting STWD graphic on the front, a pouch pocket and made from a cotton blend.",['Bottle'],Clothing
https://www.pullandbear.com/ae/retro-trainers-l12218640,219.00,713407942,Retro-style trainers available in various colours. Combination of materials and panels on the upper. Detail of leather panels with a split suede finish. Lace-up fastening.OrthoLite® insoleSole height: 1.5 cm.,"['White', 'Brown']",Footwear
https://www.pullandbear.com/ae/stwd-graphic-tshirt-l07152506,99.00,715754951,Short sleeve T-shirt with an STWD graphic and a round neck. Made of cotton.,['Off white'],Clothing
https://www.pullandbear.com/ae/stwd-ripstop-raincoat-l07700526,269.00,715754957,"Ripstop fabric raincoat with an STWD logo, pockets, hood, zipper fastening and elasticated cuffs and hem.","['Green', 'Black', 'Red', 'Anthracite grey']",Clothing
https://www.pullandbear.com/ae/faded-stwd-tshirt-l07151563,99.00,713407953,"Faded T-shirt with 'STWD Goals' text, a star graphic on the back and short sleeves.",['Pale blue'],Clothing
https://www.pullandbear.com/ae/metallic-trainers-l12305640,349.00,715754964,Trainers available in several colours. Combination of materials. Metallic detailing. Chunky sole. Lace-up fastening. OrthoLite® insole.Sole height: 5.5 cm.,"['White', 'Black', 'Copper']",Footwear
https://www.pullandbear.com/ae/playstation-x-stwd-joggers-l07674518,269.00,715754970,"Black PlayStation licensed joggers featuring a contrast graphic, a panelled design, pockets and an elasticated waistband.Total look",['Black'],Clothing
https://www.pullandbear.com/ae/denim-hooded-jacket-l07700545,269.00,715754996,"Denim jacket with zip fastening, a hood, a pouch pocket, elasticated cuffs and hem, and made of 100% cotton.","['Pale indigo', 'Faded black', 'Pale grey']",Clothing
https://www.pullandbear.com/ae/stwd-soccer-tshirt-l07152538,189.00,699909625,"STWD soccer T-shirt with a striped design, 'Association d'equipe' text, a ribbed V-neck and short sleeves.",['Striped'],Clothing
https://www.pullandbear.com/ae/embroidered-new-york-cap-l07930536,75.00,701515258,"Cap with an embroidered New York graphic on the front panel, a curved peak and an adjustable back fastening.",['Brown'],Clothing
https://www.pullandbear.com/ae/stwd-soccer-tshirt-l07152540,189.00,699909629,"STWD soccer T-shirt with a striped design, 'Campione' text, ribbed V-neck and short sleeves.",['Striped'],Clothing
https://www.pullandbear.com/ae/sweatpants-with-splits-l03681501,149.00,715755006,"Fleece sweatpants with an elastic drawstring waistband, pockets and a split detail at the hem.","['Off white', 'Black', 'Grey marl', 'Dark blue']",Clothing
https://www.pullandbear.com/ae/playstation-x-stwd-striped-tshirt-l07152531,169.00,701515286,"Licensed PlayStation T-shirt with a multicoloured striped design, a contrast graphic, long sleeves and a round neck.",['Grey'],Clothing
https://www.pullandbear.com/ae/nylon-stwd-crossbody-bag-l15024640,119.00,711646831,Black nylon-effect fabric crossbody bag. STWD logo detail. Long adjustable strap. External pocket on the front. Zip closure. Height x Length x Width: 19 x 22 x 6 cm.,['Black'],Clothing
https://www.pullandbear.com/ae/side-stripe-baggy-jeans-l07687503,299.00,716676733,"Baggy relaxed fit jeans with side stripes, belt loops, a zipper fly and top button fastening, and a five-pocket design.",['Orange marl'],Clothing
https://www.pullandbear.com/ae/stwd-printed-cardigan-l07550520,269.00,716676734,"Long sleeve cardigan in a printed knit fabric, with a V-neck, ribbed cuffs and hem, button fastening and made from a cotton blend.",['Grey/Beige'],Clothing
https://www.pullandbear.com/ae/stwd-studio-contrast-stitch-tshirt-l07151572,99.00,716676735,"Black short sleeve T-shirt with contrast stitching and STWD logo on the front and back, and a round neck. Made of cotton.",['Black'],Clothing
https://www.pullandbear.com/ae/washed-stwd-shirt-l07472534,219.00,716676736,"Grey shirt with a washed finish and a contrast STWD graphic, with button fastening and made of 100% cotton.",['Anthracite grey'],Clothing
https://www.pullandbear.com/ae/embroidered-stwd-cap-l07930528,75.00,716676737,"Grey cap with a washed finish, with embroidered text on the side panel, an STWD logo on the peak, adjustable fastening at the back, and crafted from cotton.",['Grey'],Clothing
